Ticker,Company,Market,Type
^CL,Crude Oil WTI Futures (CFD),COMMODITY,commodity
^DJI,Dow Jones Industrial Average - United States (NYSE),WORLDINDEX,worldindex
^DX,US Dollar Index United States (NYSE),FOREX,forex
^DXY,US Dollar Index Futures (CFD),FOREX,worldindex
^GC,Gold Futures (CFD),COMMODITY,commodity
^HG,Copper Futures (CFD),COMMODITY,commodity
^LCO,Brent Oil Futures (CFD),COMMODITY,commodity
^NDX,NASDAQ 100 - United States (NASDAQ),WORLDINDEX,worldindex
^NG,Natural Gas Futures (CFD),COMMODITY,commodity
^SI,Silver Futures (CFD),COMMODITY,commodity
^VFS,VinFast Auto (NASDAQ),WORLDINDEX,worldindex
^ZS,US Soybeans Futures (CFD),COMMODITY,commodity
^ZW,US Wheat Futures (CFD),COMMODITY,commodity
0001,Dau khi,HSX,sector
1300,Hoa chat,HSX,sector
1700,Tai nguyen co ban,HSX,sector
1733,Lam san va Che bien Go,HSX,sector
1757,Thep  va san pham thep,HSX,sector
1771,Khai thac than,HSX,sector
1775,Khai khoang,HSX,sector
2300,Xay dung va vat lieu,HSX,sector
2357,Xay dung,HSX,sector
2700,Hang va Dich vu Cong nghiep,HSX,sector
2773,Van tai thuy,HSX,sector
3700,Hang tieu dung,HSX,sector
4500,Y te,HSX,sector
4577,Duoc pham,HSX,sector
6500,Vien thong,HSX,sector
7535,San xuat va Phan phoi Dien,HSX,sector
7575,Tien ich Cong dong,HSX,sector
8300,Ngan hang,HSX,sector
8500,Bao hiem,HSX,sector
8600,Bat dong san,HSX,sector
8777,Chung khoan,HSX,sector
9500,Cong nghe Thong tin,HSX,sector
A32,Cong ty Co phan 32,UPCOM,stock
AAA,Cong ty Co phan Nhua An Phat Xanh,HSX,stock
AAH,Cong ty Co phan Hop Nhat,UPCOM,stock
AAM,Cong ty Co Phan Thuy San MeKong,HSX,stock
AAS,Cong ty Co phan Chung khoan SmartInvest,UPCOM,stock
AAT,Cong ty Co phan Tap doan Tien Son Thanh Hoa,HSX,stock
AAV,Cong ty Co phan AAV Group,HNX,stock
AAVEUSDT,AAVE/USDT,BINANCE,crypto
ABB,Ngan hang Thuong mai Co phan An Binh,UPCOM,stock
ABC,Cong ty Co phan Truyen thong VMG,UPCOM,stock
ABI,Cong ty Co phan Bao hiem Ngan hang Nong Nghiep,UPCOM,stock
ABR,Cong ty Co phan Dau tu Nhan Hieu Viet,HSX,stock
ABS,Cong ty Co phan Dich vu Nong nghiep Binh Thuan,HSX,stock
ABT,Cong ty Co phan Xuat nhap khau Thuy san Ben Tre,HSX,stock
ABW,Cong ty Co phan Chung khoan An Binh,UPCOM,stock
ACB,Ngan hang Thuong mai Co phan A Chau,HSX,stock
ACC,Cong ty Co phan Dau tu va Xay dung Binh Duong ACC,HSX,stock
ACE,Cong ty Co phan Be tong ly tam An Giang,UPCOM,stock
ACG,Cong ty Co phan Go An Cuong,HSX,stock
ACL,Cong ty Co phan Xuat nhap khau Thuy san Cuu Long An Giang,HSX,stock
ACM,Cong ty Co phan Tap doan Khoang san A Cuong,UPCOM,stock
ACS,Cong ty Co phan Xay lap Thuong mai 2,UPCOM,stock
ACV,Tong Cong ty Cang Hang khong Viet Nam - CTCP,UPCOM,stock
ADAUSDT,ADA/USDT,BINANCE,crypto
ADC,Cong ty Co phan Mi thuat va Truyen thong,HNX,stock
ADG,Cong ty Co phan Clever Group,HSX,stock
ADP,Cong ty Co phan Son A Dong,HSX,stock
ADS,Cong ty Co phan DAMSAN,HSX,stock
AFX,Cong ty Co phan Xuat Nhap khau Nong san Thuc pham An Giang,UPCOM,stock
AG1,Cong ty Co phan 28.1,UPCOM,stock
AGF,Cong ty Co phan Xuat nhap khau Thuy san An Giang,UPCOM,stock
AGG,Cong ty Co phan Dau tu va Phat trien Bat dong san An Gia,HSX,stock
AGM,Cong ty Co phan Xuat nhap khau An Giang,HSX,stock
AGP,Cong ty Co phan Duoc pham AGIMEXPHARM,UPCOM,stock
AGR,Cong ty Co phan Chung khoan AGRIBANK,HSX,stock
AGX,Cong ty Co phan Thuc pham Nong san Xuat khau Sai Gon,UPCOM,stock
AIC,Tong Cong ty Co phan Bao hiem Hang khong,UPCOM,stock
ALT,Cong ty Co phan Van hoa Tan Binh,HNX,stock
ALV,Cong ty Co phan Xay dung ALVICO,UPCOM,stock
AMC,Cong ty Co phan Khoang san A Chau,HNX,stock
AME,Cong ty co phan Alphanam E&C,HNX,stock
